Plate information 
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Formula	Measurement date	
1	1		N/A	N/A	N/A	N/A	N/A	N/A	N/A	Calc 1: Crosstalk = Crosstalk correction where Label : AlphaScreen_Kenji(1) channel 1	6/21/2021 5:45:09 PM	

Calculated results: Calc 1: Crosstalk = Crosstalk correction where Label : AlphaScreen_Kenji(1) channel 1
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A	393818	447027	408613	424478	418105	427289	418087	417667	405829	406252	376431	371381	309844	303298	199822	192813	143820	143050	132198	135505	119116	126829	103477	109916	
B	375497	318868	317128	290460	318490	317223	313075	289566	303358	308971	308828	289893	253055	237036	165211	155942	122047	109158	115510	102486	108711	98696	96820	89961	
C	312643	326028	244753	244832	246952	306250	250565	246795	243372	326361	349131	355468	353143	346984	326240	324698	294851	291209	244274	248571	192145	201405	123647	138844	
D	370117	305701	294079	270623	295721	301552	294476	273116	292285	320873	348787	332444	340093	320727	322198	303469	292287	268734	246957	230636	200313	183497	139986	133951	
E	326917	321122	227957	240299	229929	300600	244468	240801	239930	323208	357222	359948	357078	358878	346070	349756	331264	336826	305694	315400	266821	284071	197594	215761	
F	370962	307694	287719	272540	289997	305608	292810	269868	290128	317593	356691	334429	353723	331494	346885	322588	335872	312731	311855	292077	281636	262342	213940	200118	
G	326384	316412	233671	232501	229893	293778	240477	232275	230987	306528	342800	334780	327000	317141	299727	292345	258038	254412	208843	208000	155556	155280	108810	109302	
H	367997	319353	306198	285917	305920	318987	305017	282598	298174	317363	333849	314451	315291	297379	290728	271164	252108	236407	206540	193540	155847	143404	110927	98525	
I	355110	362238	354018	356594	359184	361797	358322	356861	369144	356760	364907	350829	346276	346504	341366	342666	331465	332003	327191	318343	289806	291110	246705	247444	
J	365262	300390	357322	331416	360838	325084	359364	323354	355447	320471	351915	314382	348688	312881	339521	305303	330342	296662	314674	265973	289623	258998	243625	218489	
K	351699	356096	360843	358426	359052	355060	349931	351642	343408	341825	331635	330309	318163	315380	293749	289435	257665	254274	208347	209732	168728	170752	149984	151598	
L	363326	319378	355728	336549	353899	334249	351461	332496	344438	322321	331207	309669	313804	295959	291488	270996	254403	241680	206319	197123	168104	159371	153293	142026	
M	308619	360364	317883	340567	343186	353513	340289	348637	335602	343877	336975	328628	322293	316765	292307	298049	269618	267830	230384	234559	191319	193869	134713	141591	
N	364052	332534	336635	322653	350893	331253	350524	328361	338951	319789	331773	306773	314471	294174	295936	284353	268897	254816	231172	218052	192211	180282	143543	135308	
O	305418	356856	337538	354636	337713	352215	334646	350701	346249	342928	332804	334457	319391	324001	297656	302514	254503	270328	208828	226714	158134	175080	97446	112587	
P	363216	330673	352113	338021	352954	335271	351249	331540	344609	324493	334687	311048	319953	297917	298365	278329	272604	260793	227261	218910	175283	167788	113193	104998	


Basic assay information 
Assay ID: 				2358
Assay Started: 				6/21/2021 5:40:47 PM
Assay Finished: 				6/21/2021 5:45:16 PM
Assay Exported: 				6/21/2021 6:02:01 PM
Protocol ID: 				100101
Protocol Name: 				Kenji_AlphaScreen
Serial#: 				="1041047"



Protocol information
Instrument nickname				EnVision
Instrument serial number				1041047
Assay started				6/21/2021 5:40:47 PM
User				N/A
Assay ID				2358
Protocol name				Kenji_AlphaScreen
Plate name				384 ProxiPlate

Labels:
Label name				AlphaScreen_Kenji
 Mirror module(s):
 Mirror module name				AlphaScreen
 Filter(s):
 Emission filter name				AlphaScreen emission 570




Exported with EnVision Workstation version 1.13.3009.1394
